season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
14/15;Ben Davies;21;5500000;Swansea;Tottenham;12650000
14/15;Brown Ideye;25;7000000;Dynamo Kyiv;West Brom;12630000
14/15;Divock Origi;19;1000000;LOSC Lille;Liverpool;12630000
14/15;Jack Rodwell;23;12000000;Man City;Sunderland;12500000
14/15;Manolo Gabbiadini;23;12000000;Sampdoria;SSC Napoli;12500000
14/15;Fraser Forster;26;4500000;Celtic;Southampton;12500000
14/15;Vincent Aboubakar;22;5500000;FC Lorient;FC Porto;12300000
14/15;Marc-Andre ter Stegen;22;20000000;Bor. M'gladbach;Barcelona;12000000
14/15;Nicolas Otamendi;26;12000000;FC Porto;Valencia;12000000
14/15;Kevin Kampl;24;9000000;RB Salzburg;Bor. Dortmund;12000000
14/15;Emre Can;20;7500000;B. Leverkusen;Liverpool;12000000
14/15;Abel Hernandez;24;5000000;US Palermo;Hull City;12000000
14/15;Claudio Bravo;31;4000000;Real Sociedad;Barcelona;12000000
14/15;Ross McCormack;27;2600000;Leeds;Fulham;11800000
14/15;Quincy Promes;22;3000000;Twente FC;Spartak Moscow;11500000
14/15;Alan;25;4000000;RB Salzburg;GZ Evergrande;11100000
14/15;Adrian Lopez;26;8000000;Atletico Madrid;FC Porto;11000000
14/15;Graziano Pelle;29;6500000;Feyenoord;Southampton;11000000
14/15;Steven Caulker;22;7500000;Cardiff;QPR;10750000
14/15;Stefano Sturaro;21;3500000;Genoa;Juventus;10600000
14/15;Raul Jimenez;23;10000000;America;Atletico Madrid;10500000
14/15;Angel Correa;19;5000000;San Lorenzo;Atletico Madrid;10500000
14/15;Gylfi Sigurdsson;24;8000000;Tottenham;Swansea;10100000
14/15;Leonardo Ulloa;28;2000000;Brighton;Leicester;10100000
14/15;Matthias Ginter;20;12000000;SC Freiburg;Bor. Dortmund;10000000
14/15;Keylor Navas;27;10000000;Levante;Real Madrid;10000000
14/15;Remy Cabella;24;10000000;Montpellier;Newcastle;10000000
14/15;Leroy Fer;24;8500000;Norwich;QPR;10000000
14/15;Guilherme Siqueira;28;8000000;Granada CF;Atletico Madrid;10000000
14/15;Federico Fazio;27;8000000;Sevilla FC;Tottenham;10000000
14/15;Federico Fernandez;25;5000000;SSC Napoli;Swansea;10000000
14/15;Juan Bernat;21;4000000;Valencia;Bayern Munich;10000000
14/15;Andreas Samaris;25;2500000;Olympiacos;Benfica;10000000
14/15;Carlos Munoz;25;900000;FC Baniyas;Al-Ahli (UAE);9800000
14/15;Adrian Ramos;28;11000000;Hertha BSC;Bor. Dortmund;9700000
14/15;Wallace;19;100000;Cruzeiro;SC Braga;9500000
14/15;Xabi Alonso;32;8000000;Real Madrid;Bayern Munich;9000000
14/15;Yann Sommer;25;8000000;FC Basel;Bor. M'gladbach;9000000
14/15;Andrej Kramaric;23;4500000;HNK Rijeka;Leicester;9000000
14/15;Darwin Quintero;27;3000000;Santos Laguna;America;9000000
14/15;James McArthur;26;3000000;Wigan;Crystal Palace;8800000
14/15;Siem de Jong;25;10000000;Ajax;Newcastle;8700000
14/15;Pierre-Michel Lasogga;22;9000000;Hertha BSC;Hamburger SV;8500000
14/15;Joaquin Correa;20;8000000;Estudiantes;Sampdoria;8400000
14/15;Shinji Kagawa;25;15000000;Man Utd;Bor. Dortmund;8000000
14/15;Gary Medel;27;11000000;Cardiff;Inter;8000000
14/15;Alfred Finnbogason;25;9000000;Heerenveen;Real Sociedad;8000000
14/15;Paulinho;28;8500000;AS Livorno;Al-Arabi SC;8000000
14/15;Marlos;26;7000000;Metalist;Shakhtar D.;8000000
14/15;Shkodran Mustafi;22;7000000;Sampdoria;Valencia;8000000
14/15;Imoh Ezekiel;20;5000000;Standard Liege;Al-Arabi SC;8000000
14/15;Willy Caballero;32;5000000;Malaga CF;Man City;8000000
14/15;Charles Aranguiz;25;3000000;Udinese Calcio;Internacional;8000000
14/15;Odion Ighalo;25;2000000;Udinese Calcio;Watford;8000000
14/15;Tiemoue Bakayoko;19;1250000;Rennes;Monaco;8000000
14/15;Kalidou Koulibaly;23;6500000;KRC Genk;SSC Napoli;7750000
14/15;Bruno Martins Indi;22;6000000;Feyenoord;FC Porto;7700000
14/15;Radamel Falcao;28;55000000;Monaco;Man Utd;7600000
14/15;Jordon Mutch;22;3000000;Cardiff;QPR;7570000
14/15;Sandro;25;11000000;Tottenham;QPR;7500000
14/15;Cheikhou Kouyate;24;7000000;RSC Anderlecht;West Ham;7500000
14/15;Manuel Lanzini;21;6000000;River Plate;Al-Jazira;7500000
14/15;Robert Snodgrass;26;5500000;Norwich;Hull City;7500000
14/15;Romarinho;23;2000000;Corinthians;El-Jaish;7500000
14/15;Mapou Yanga-Mbiwa;25;6000000;Newcastle;AS Roma;7350000
14/15;Maxime Lestienne;22;10000000;Club Brugge;Al-Arabi SC;7300000
14/15;Oribe Peralta;30;4600000;Santos Laguna;America;7290000
14/15;Mathieu Valbuena;29;14000000;Marseille;Dinamo Moscow;7000000
14/15;Nuri Sahin;25;12000000;Real Madrid;Bor. Dortmund;7000000
14/15;Tin Jedvaj;19;6500000;AS Roma;B. Leverkusen;7000000
14/15;Stefan de Vrij;22;6000000;Feyenoord;Lazio;7000000
14/15;Omer Damari;25;2500000;Austria Vienna;RB Leipzig;7000000
14/15;Jake Livermore;24;2500000;Tottenham;Hull City;7000000
14/15;Daley Sinkgraven;19;1500000;Heerenveen;Ajax;7000000
14/15;Majeed Waris;22;2500000;Spartak Moscow;Trabzonspor;6900000
14/15;Britt Assombalonga;21;1000000;Peterborough;Nottm Forest;6900000
14/15;Josip Drmic;21;10000000;1.FC Nuremberg;B. Leverkusen;6800000
14/15;Josuha Guilavogui;23;10000000;Atletico Madrid;VfL Wolfsburg;6800000
14/15;Florin Gardos;25;6000000;Steaua Bucharest;Southampton;6800000
14/15;Dele Alli;18;2000000;MK Dons;Tottenham;6630000
14/15;Kyle Naughton;26;5000000;Tottenham;Swansea;6600000
14/15;Dario Benedetto;24;1800000;Club Tijuana;America;6600000
14/15;Rodrigo de Paul;20;3500000;Racing Club;Valencia;6550000
14/15;Marko Livaja;20;5000000;Atalanta BC;Rubin Kazan;6500000
14/15;Yacine Brahimi;24;4000000;Granada CF;FC Porto;6500000
14/15;Wendell;20;3000000;Gremio;B. Leverkusen;6500000
14/15;Callum McManaman;23;3000000;Wigan;West Brom;6350000
14/15;Jordon Mutch;23;6000000;QPR;Crystal Palace;6340000
14/15;Emmanuel Riviere;24;5000000;Monaco;Newcastle;6320000
14/15;Mirko Vucinic;30;9000000;Juventus;Al-Jazira;6300000
14/15;Bruno Ecuele Manga;26;5000000;FC Lorient;Cardiff;6300000
14/15;Ashkan Dejagah;28;3000000;Fulham;Al-Arabi SC;6300000
14/15;Antonio Sanabria;18;4500000;Sassuolo;AS Roma;6200000
14/15;Ezequiel Garay;27;20000000;Benfica;Zenit S-Pb;6000000
14/15;Valon Behrami;29;12000000;SSC Napoli;Hamburger SV;6000000
14/15;Demba Ba;29;11000000;Chelsea;Besiktas;6000000
14/15;Jonathan de Guzman;26;10000000;Villarreal;SSC Napoli;6000000
14/15;Giuliano;24;8000000;Dnipro;Gremio;6000000
14/15;Michy Batshuayi;20;8000000;Standard Liege;Marseille;6000000
14/15;Adam Szalai;26;7000000;FC Schalke 04;TSG Hoffenheim;6000000
14/15;Steven Defour;26;6000000;FC Porto;RSC Anderlecht;6000000
14/15;Roberto;28;6000000;Atletico Madrid;Olympiacos;6000000
14/15;William Vainqueur;25;6000000;Standard Liege;Dinamo Moscow;6000000
14/15;Admir Mehmedi;23;5500000;Dynamo Kyiv;SC Freiburg;6000000
14/15;Daryl Janmaat;25;5000000;Feyenoord;Newcastle;6000000
14/15;Oussama Assaidi;26;5000000;Liverpool;Al-Ahli (UAE);6000000
14/15;Dorlan Pabon;26;5000000;Valencia;Monterrey;6000000
14/15;Carlos Sanchez;28;4000000;Elche CF;Aston Villa;6000000
14/15;Antunes;27;3000000;Malaga CF;Dynamo Kyiv;6000000
14/15;Filip Kostic;21;2500000;FC Groningen;VfB Stuttgart;6000000
14/15;Roman Eremenko;27;13000000;Rubin Kazan;CSKA Moscow;5900000
14/15;Benjamin Stambouli;24;5000000;Montpellier;Tottenham;5900000
14/15;Muriqui;28;3500000;GZ Evergrande;Al-Sadd SC;5900000
14/15;Ishak Belfodil;22;7000000;Inter;Parma;5750000
14/15;Michel Vorm;30;7000000;Swansea;Tottenham;5700000
14/15;Eric Bailly;20;1000000;Espanyol;Villarreal;5700000
14/15;Hai Yu;27;600000;GZ Renhe;SH SIPG;5600000
14/15;Isaac Brizuela;24;2000000;Toluca;Chivas;5580000
14/15;Luciano Vietto;20;8500000;Racing Club;Villarreal;5500000
14/15;Sime Vrsaljko;22;7500000;Genoa;Sassuolo;5500000
14/15;Oliver Baumann;24;7000000;SC Freiburg;TSG Hoffenheim;5500000
14/15;Alberto Gilardino;32;5000000;Genoa;GZ Evergrande;5500000
14/15;Rickie Lambert;32;5000000;Southampton;Liverpool;5500000
14/15;Luuk de Jong;23;5000000;Bor. M'gladbach;PSV Eindhoven;5500000
14/15;Grzegorz Krychowiak;24;5000000;Stade Reims;Sevilla FC;5500000
14/15;Oumar Niasse;24;4000000;Akhisar Belediye;Loko Moscow;5500000
14/15;Diego Tardelli;29;3500000;Atletico-MG;SD Luneng;5500000
14/15;Alexander Buttner;25;3500000;Man Utd;Dinamo Moscow;5500000
14/15;Andrea Belotti;20;2500000;UC AlbinoLeffe;US Palermo;5500000
14/15;Hanchao Yu;27;500000;DL Aerbin;GZ Evergrande;5500000
14/15;Giacomo Bonaventura;25;10000000;Atalanta BC;AC Milan;5300000
14/15;David Lopez;24;5000000;Espanyol;SSC Napoli;5300000
14/15;Pape Souare;24;3500000;LOSC Lille;Crystal Palace;5300000
14/15;Hernane;28;2000000;Flamengo;Al-Nassr FC;5300000
14/15;Bryan Cristante;19;3000000;AC Milan;Benfica;5200000
14/15;Jose Izquierdo;22;300000;Once Caldas;Club Brugge;5010000
14/15;Oscar Cardozo;31;9000000;Benfica;Trabzonspor;5000000
14/15;Pablo Hernandez;29;8000000;Swansea;Al-Arabi SC;5000000
14/15;Massimo Bruno;20;8000000;RSC Anderlecht;RB Leipzig;5000000
14/15;Matheus Doria;19;8000000;Botafogo;Marseille;5000000
14/15;Romain Alessandrini;25;7500000;Rennes;Marseille;5000000
14/15;Chico Flores;27;6500000;Swansea;Lekhwiya;5000000
14/15;Alen Halilovic;18;6500000;Dinamo Zagreb;Barcelona B;5000000
14/15;Vadis Odjidja-Ofoe;25;5000000;Club Brugge;Norwich;5000000
14/15;Sergio Asenjo;25;5000000;Atletico Madrid;Villarreal;5000000
14/15;Luca Marrone;24;4500000;Sassuolo;Juventus;5000000
14/15;Alan Kasaev;28;4000000;Rubin Kazan;Loko Moscow;5000000
14/15;Jonathan Pitroipa;28;4000000;Rennes;Al-Jazira;5000000
14/15;Lucas Mendes;24;4000000;Marseille;El-Jaish;5000000
14/15;Pajtim Kasami;22;3500000;Fulham;Olympiacos;5000000
14/15;Eric Dier;20;3500000;Sporting CP;Tottenham;5000000
14/15;Jefferson Montero;24;3300000;Monarcas Morelia;Swansea;5000000
14/15;Sammir;27;3000000;Getafe;JS Guoxin Sainty;5000000
14/15;Diafra Sakho;24;3000000;FC Metz;West Ham;5000000
14/15;Joselu;24;3000000;TSG Hoffenheim;Hannover 96;5000000
14/15;Karl Darlow;23;1000000;Nottm Forest;Newcastle;5000000
14/15;Jamaal Lascelles;20;600000;Nottm Forest;Newcastle;5000000
14/15;Cristian Penilla;23;1500000;Barcelona SC;Pachuca;4950000
14/15;Nicolas Lodeiro;25;2000000;Corinthians;Boca Juniors;4920000
14/15;Marco Benassi;19;4000000;Inter;Torino;4800000
14/15;Muhamed Besic;21;2500000;Ferencvaros;Everton;4800000
14/15;Salih Ucan;20;3500000;Fenerbahce;AS Roma;4750000
14/15;Tarik Camdal;23;2700000;Eskisehirspor;Galatasaray;4750000
14/15;Aaron Cresswell;24;1500000;Ipswich;West Ham;4750000
14/15;Talisca;20;400000;EC Bahia;Benfica;4750000
14/15;Federico Bonazzoli;17;2500000;Inter;Sampdoria;4600000
14/15;Andrea Consigli;27;8000000;Atalanta BC;Sassuolo;4500000
14/15;Gokhan Tore;22;7000000;Rubin Kazan;Besiktas;4500000
14/15;Nicolai Muller;26;7000000;1.FSV Mainz 05;Hamburger SV;4500000
14/15;Marco Parolo;29;6000000;Parma;Lazio;4500000
14/15;Panagiotis Kone;27;6000000;Bologna;Udinese Calcio;4500000
14/15;Abdelaziz Barrada;25;5500000;Al-Jazira;Marseille;4500000
14/15;Federico Peluso;30;3800000;Juventus;Sassuolo;4500000
14/15;Kyle Lafferty;26;3000000;US Palermo;Norwich;4500000
14/15;Jannik Vestergaard;22;3000000;TSG Hoffenheim;Werder Bremen;4500000
14/15;Guilherme;23;2500000;Corinthians;Udinese Calcio;4500000
14/15;Alan Kardec;25;1500000;Benfica;Sao Paulo;4500000
14/15;Patricio Rubio;25;;U. de Chile;Queretaro FC;4500000
14/15;Danilo Barbosa;18;;Vasco da Gama;SC Braga;4500000
14/15;Papu Gomez;26;8000000;Metalist;Atalanta BC;4470000
14/15;Mohamed Diame;27;7000000;West Ham;Hull City;4400000
14/15;Michael Dawson;30;6500000;Tottenham;Hull City;4400000
14/15;Hiroshi Kiyotake;24;4500000;1.FC Nuremberg;Hannover 96;4300000
14/15;Adil Rami;28;8000000;Valencia;AC Milan;4250000
14/15;Daniele Rugani;20;7500000;Empoli;Juventus;4200000
14/15;Carles Gil;22;6000000;Valencia;Aston Villa;4200000
14/15;Ricardo Centurion;22;4000000;Racing Club;Sao Paulo;4200000
14/15;Dabao Yu;26;500000;DL Aerbin;BJ Guoan;4200000
14/15;Agustin Marchesin;26;2500000;Lanus;Santos Laguna;4150000
14/15;Edwin Cardona;22;900000;Atl. Nacional;Monterrey;4150000
14/15;Daniel Agger;29;15000000;Liverpool;Brondby IF;4000000
14/15;Olcan Adin;28;9000000;Trabzonspor;Galatasaray;4000000
14/15;Valentin Stocker;25;7000000;FC Basel;Hertha BSC;4000000
15/16;Kevin De Bruyne;24;45000000;VfL Wolfsburg;Man City;76000000
15/16;Raheem Sterling;20;40000000;Liverpool;Man City;63700000
15/16;Angel Di Maria;27;50000000;Man Utd;Paris SG;63000000
15/16;Anthony Martial;19;8000000;Monaco;Man Utd;60000000
15/16;Alex Teixeira;26;30000000;Shakhtar D.;JS Suning;50000000
15/16;Christian Benteke;24;20000000;Aston Villa;Liverpool;46500000
15/16;Nicolas Otamendi;27;25000000;Valencia;Man City;44500000
15/16;Julian Draxler;21;22000000;FC Schalke 04;VfL Wolfsburg;43000000
15/16;Jackson Martinez;29;30000000;Atletico Madrid;GZ Evergrande;42000000
15/16;Paulo Dybala;21;28000000;US Palermo;Juventus;41000000
15/16;Roberto Firmino;23;25000000;TSG Hoffenheim;Liverpool;41000000
15/16;Arturo Vidal;28;42000000;Juventus;Bayern Munich;39250000
15/16;Mateo Kovacic;21;22000000;Inter;Real Madrid;38000000
15/16;Geoffrey Kondogbia;22;16000000;Monaco;Inter;36000000
15/16;Jackson Martinez;28;35000000;FC Porto;Atletico Madrid;35000000
15/16;Morgan Schneiderlin;25;28000000;Southampton;Man Utd;35000000
15/16;Arda Turan;28;35000000;Atletico Madrid;Barcelona;34000000
15/16;Memphis Depay;21;28000000;PSV Eindhoven;Man Utd;34000000
15/16;Carlos Bacca;28;25000000;Sevilla FC;AC Milan;33299999
15/16;Danilo;23;25000000;FC Porto;Real Madrid;31500000
15/16;Douglas Costa;24;23000000;Shakhtar D.;Bayern Munich;30000000
15/16;Rodrigo;24;18000000;Benfica;Valencia;30000000
15/16;Heung-min Son;23;16000000;B. Leverkusen;Tottenham;30000000
15/16;Ramires;28;25000000;Chelsea;JS Suning;28000000
15/16;Alex Sandro;24;20000000;FC Porto;Juventus;28000000
15/16;Alvaro Negredo;29;18000000;Man City;Valencia;28000000
15/16;Pedro;28;20000000;Barcelona;Chelsea;27000000
15/16;Abdul-Rahman Baba;21;10000000;FC Augsburg;Chelsea;26000000
15/16;Layvin Kurzawa;22;10000000;Monaco;Paris SG;25000000
15/16;Alessio Romagnoli;20;8500000;AS Roma;AC Milan;25000000
15/16;Giannelli Imbula;23;16000000;FC Porto;Stoke City;24250000
15/16;Aymen Abdennour;26;10000000;Monaco;Valencia;22000000
15/16;Raul Jimenez;24;5000000;Atletico Madrid;Benfica;22000000
15/16;Andrea Bertolacci;24;15000000;AS Roma;AC Milan;21000000
15/16;Luciano Vietto;21;20000000;Villarreal;Atletico Madrid;20000000
15/16;Andre Gomes;21;20000000;Benfica;Valencia;20000000
15/16;Georginio Wijnaldum;24;15000000;PSV Eindhoven;Newcastle;20000000
15/16;Giannelli Imbula;22;12000000;Marseille;FC Porto;20000000
15/16;Mario Mandzukic;29;20000000;Atletico Madrid;Juventus;19000000
15/16;Ivan Perisic;26;13000000;VfL Wolfsburg;Inter;19000000
15/16;Aleksandar Mitrovic;20;11000000;RSC Anderlecht;Newcastle;18500000
15/16;Elkeson;26;4500000;GZ Evergrande;SH SIPG;18500000
15/16;Florian Thauvin;22;12000000;Marseille;Newcastle;18350000
15/16;Gervinho;28;15000000;AS Roma;HB CFFC;18000000
15/16;Matteo Darmian;25;12000000;Torino;Man Utd;18000000
15/16;Simone Zaza;24;11000000;Sassuolo;Juventus;18000000
15/16;Oumar Niasse;25;10000000;Loko Moscow;Everton;17900000
15/16;Nathaniel Clyne;24;17000000;Southampton;Liverpool;17700000
15/16;Xherdan Shaqiri;23;17000000;Inter;Stoke City;17000000
15/16;Salomon Rondon;25;15000000;Zenit S-Pb;West Brom;17000000
15/16;Aleix Vidal;25;10000000;Sevilla FC;Barcelona;17000000
15/16;Filipe Luis;29;15000000;Chelsea;Atletico Madrid;16000000
15/16;Asier Illarramendi;25;15000000;Real Madrid;Real Sociedad;16000000
15/16;Toby Alderweireld;26;15000000;Atletico Madrid;Tottenham;16000000
15/16;Moussa Sow;29;13000000;Fenerbahce;Al-Ahli (UAE);16000000
15/16;Jonjo Shelvey;23;12000000;Swansea;Newcastle;16000000
15/16;Roberto Soldado;30;10000000;Tottenham;Villarreal;16000000
15/16;Andros Townsend;24;8000000;Tottenham;Newcastle;15700000
15/16;Virgil van Dijk;24;5000000;Celtic;Southampton;15700000
15/16;Xherdan Shaqiri;23;17000000;Bayern Munich;Inter;15000000
15/16;Roberto Pereyra;24;17000000;Udinese Calcio;Juventus;15000000
15/16;Dimitri Payet;28;13000000;Marseille;West Ham;15000000
15/16;Jordy Clasie;24;10000000;Feyenoord;Southampton;15000000
15/16;Casemiro;23;10000000;Real Madrid;FC Porto;15000000
15/16;Yannick Carrasco;21;9000000;Monaco;Atletico Madrid;15000000
15/16;Joao Cancelo;21;5000000;Benfica;Valencia;15000000
15/16;Ivan Cavaleiro;21;3500000;Benfica;Monaco;15000000
15/16;Clinton N'Jie;22;5000000;Olympique Lyon;Tottenham;14100000
15/16;Petr Cech;33;12000000;Chelsea;Arsenal;14000000
15/16;Paulinho;26;9000000;Tottenham;GZ Evergrande;14000000
15/16;Luiz Adriano;28;8500000;Shakhtar D.;AC Milan;14000000
15/16;Adama Traore;20;1250000;LOSC Lille;Monaco;14000000
15/16;Yohan Cabaye;29;16000000;Paris SG;Crystal Palace;13900000
15/16;Benik Afobe;22;7000000;Wolves;Bournemouth;13300000
15/16;Sergi Darder;21;7500000;Malaga CF;Olympique Lyon;13100000
15/16;Hernanes;30;14000000;Inter;Juventus;13000000
15/16;Fredy Guarin;29;10500000;Inter;SH Shenhua;13000000
15/16;Demba Ba;30;10000000;Besiktas;SH Shenhua;13000000
15/16;Charles Aranguiz;26;9500000;Internacional;B. Leverkusen;13000000
15/16;Mohamed Elneny;23;4000000;FC Basel;Arsenal;12500000
15/16;Andre Gray;24;1000000;Brentford;Burnley;12400000
15/16;Ramiro Funes Mori;24;6000000;River Plate;Everton;12200000
15/16;Stefan Savic;24;15000000;Fiorentina;Atletico Madrid;12000000
15/16;Max Kruse;27;12000000;Bor. M'gladbach;VfL Wolfsburg;12000000
15/16;Chicharito;27;10000000;Man Utd;B. Leverkusen;12000000
15/16;Luis Muriel;24;10000000;Udinese Calcio;Sampdoria;12000000
15/16;Chancel Mbemba;20;8000000;RSC Anderlecht;Newcastle;12000000
15/16;Jordan Ayew;23;6000000;FC Lorient;Aston Villa;12000000
15/16;Rony Lopes;19;4500000;Man City;Monaco;12000000
15/16;Sergej Milinkovic-Savic;20;4000000;KRC Genk;Lazio;12000000
15/16;Jordan Rhodes;26;10000000;Blackburn;Middlesbrough;11900000
15/16;Wahbi Khazri;24;7500000;G. Bordeaux;Sunderland;11800000
15/16;Allan;24;11500000;Udinese Calcio;SSC Napoli;11500000
15/16;Fabian Delph;25;10000000;Aston Villa;Man City;11500000
15/16;Jeremain Lens;27;12000000;Dynamo Kyiv;Sunderland;11400000
15/16;Tyrone Mings;22;6000000;Ipswich;Bournemouth;11300000
15/16;James Chester;26;2000000;Hull City;West Brom;11300000
15/16;Gonzalo Castro;28;14000000;B. Leverkusen;Bor. Dortmund;11000000
15/16;Asmir Begovic;28;12000000;Stoke City;Chelsea;11000000
15/16;Ciro Immobile;25;10000000;Bor. Dortmund;Sevilla FC;11000000
15/16;Angelo Ogbonna;27;9000000;Juventus;West Ham;11000000
15/16;Kevin Kampl;24;9000000;Bor. Dortmund;B. Leverkusen;11000000
15/16;Shinji Okazaki;29;8000000;1.FSV Mainz 05;Leicester;11000000
15/16;Jonathan Calleri;22;7500000;Boca Juniors;Maldonado;11000000
15/16;Steven Naismith;29;5000000;Everton;Norwich;11000000
15/16;Jemerson;23;5000000;Atletico-MG;Monaco;11000000
15/16;Geuvanio;23;4500000;Santos;TJ Quanjian;11000000
15/16;Thiago Neves;30;4000000;Al-Hilal;Al-Jazira;11000000
15/16;Jordan Amavi;21;4000000;OGC Nice;Aston Villa;11000000
15/16;Timm Klose;27;3000000;VfL Wolfsburg;Norwich;11000000
15/16;Yangyang Jin;23;175000;GZ R&F;HB CFFC;10830000
15/16;Fabio Borini;24;7000000;Liverpool;Sunderland;10700000
15/16;Abdoulaye Doucoure;23;6000000;Rennes;Watford;10600000
15/16;Adalberto Penaranda;18;500000;Udinese Calcio;Watford;10600000
15/16;Johannes Geis;21;11000000;1.FSV Mainz 05;FC Schalke 04;10500000
15/16;Ricardo Alvarez;27;10000000;Inter;Sunderland;10500000
15/16;Tecatito;22;6500000;Twente FC;FC Porto;10500000
15/16;Dusan Basta;30;5500000;Udinese Calcio;Lazio;10500000
15/16;Domenico Berardi;20;17500000;Juventus;Sassuolo;10000000
15/16;Raul Garcia;29;12000000;Atletico Madrid;Athletic;10000000
15/16;Serge Aurier;22;10000000;Toulouse;Paris SG;10000000
15/16;Josip Drmic;22;8000000;B. Leverkusen;Bor. M'gladbach;10000000
15/16;Jordan Veretout;22;8000000;FC Nantes;Aston Villa;10000000
15/16;Max Gradel;27;6500000;Saint-Etienne;Bournemouth;10000000
15/16;Connor Wickham;22;5000000;Sunderland;Crystal Palace;10000000
15/16;Adama Traore;19;5000000;Barcelona B;Aston Villa;10000000
15/16;Santi Mina;19;4000000;Celta de Vigo;Valencia;10000000
15/16;Jinhao Bi;25;250000;HN Jianye;SH Shenhua;9980000
15/16;Robbie Brady;23;2000000;Hull City;Norwich;9900000
15/16;Lu Zhang;28;100000;Liaoning FC;TJ Quanjian;9800000
15/16;Matija Nastasic;22;14000000;Man City;FC Schalke 04;9500000
15/16;Kevin Trapp;25;8000000;E. Frankfurt;Paris SG;9500000
